Subset 1	271	595.000	0.274
Subset 1	272	596.000	0.274
Subset 1	273	597.000	0.273
Subset 1	274	598.000	0.272
Subset 1	275	599.000	0.272
Subset 1	276	600.000	0.272
Subset 1	277	601.000	0.271
Subset 1	278	602.000	0.270
Subset 1	279	603.000	0.268
Subset 1	280	604.000	0.266
Subset 1	281	605.000	0.264
Subset 1	282	606.000	0.262
Subset 1	283	607.000	0.261
Subset 1	284	608.000	0.260
Subset 1	285	609.000	0.258
Subset 1	286	610.000	0.256
Subset 1	287	611.000	0.254
Subset 1	288	612.000	0.253
Subset 1	289	613.000	0.251
Subset 1	290	614.000	0.249
Subset 1	291	615.000	0.246
Subset 1	292	616.000	0.245
Subset 1	293	617.000	0.243
Subset 1	294	618.000	0.242
Subset 1	295	619.000	0.240
Subset 1	296	620.000	0.239
Subset 1	297	621.000	0.239
Subset 1	298	622.000	0.238
Subset 1	299	623.000	0.236
Subset 1	300	624.000	0.235
Subset 1	301	625.000	0.235
Subset 1	302	626.000	0.235
Subset 1	303	627.000	0.235
Subset 1	304	628.000	0.234
Subset 1	305	629.000	0.234
Subset 1	306	630.000	0.234
Subset 1	307	631.000	0.234
Subset 1	308	632.000	0.234
Subset 1	309	633.000	0.232
Subset 1	310	634.000	0.231
Subset 1	311	635.000	0.230
Subset 1	312	636.000	0.228
Subset 1	313	637.000	0.225
Subset 1	314	638.000	0.224
Subset 1	315	639.000	0.222
Subset 1	316	640.000	0.219
Subset 1	317	641.000	0.217
Subset 1	318	642.000	0.215
Subset 1	319	643.000	0.214
Subset 1	320	644.000	0.212
Subset 1	321	645.000	0.209
Subset 1	322	646.000	0.206
Subset 1	323	647.000	0.204
Subset 1	324	648.000	0.203
Subset 1	325	649.000	0.201
Subset 1	326	650.000	0.199
Subset 1	327	651.000	0.198
Subset 1	328	652.000	0.197
Subset 1	329	653.000	0.196
Subset 1	330	654.000	0.194
Subset 1	331	655.000	0.194
Subset 1	332	656.000	0.193
Subset 1	333	657.000	0.191
Subset 1	334	658.000	0.189
Subset 1	335	659.000	0.187
Subset 1	336	660.000	0.185
Subset 1	337	661.000	0.183
Subset 1	338	662.000	0.181
Subset 1	339	663.000	0.179
Subset 1	340	664.000	0.178
Subset 1	341	665.000	0.177
Subset 1	342	666.000	0.175
Subset 1	343	667.000	0.173
Subset 1	344	668.000	0.173
Subset 1	345	669.000	0.172
Subset 1	346	670.000	0.170
Subset 1	347	671.000	0.170
Subset 1	348	672.000	0.171
Subset 1	349	673.000	0.171
Subset 1	350	674.000	0.171
Subset 1	351	675.000	0.171
Subset 1	352	676.000	0.172
Subset 1	353	677.000	0.173
Subset 1	354	678.000	0.173
Subset 1	355	679.000	0.175
Subset 1	356	680.000	0.177
Subset 1	357	681.000	0.178
Subset 1	358	682.000	0.180
Subset 1	359	683.000	0.183
Subset 1	360	684.000	0.186
Subset 1	361	685.000	0.190
Subset 1	362	686.000	0.195
Subset 1	363	687.000	0.202
Subset 1	364	688.000	0.209
Subset 1	365	689.000	0.217
Subset 1	366	690.000	0.226
Subset 1	367	691.000	0.236
Subset 1	368	692.000	0.248
Subset 1	369	693.000	0.262
Subset 1	370	694.000	0.275
Subset 1	371	695.000	0.289
Subset 1	372	696.000	0.304
Subset 1	373	697.000	0.321
Subset 1	374	698.000	0.338
Subset 1	375	699.000	0.355
Subset 1	376	700.000	0.372
Subset 1	377	701.000	0.389
Subset 1	378	702.000	0.407
Subset 1	379	703.000	0.424
Subset 1	380	704.000	0.442
Subset 1	381	705.000	0.460
Subset 1	382	706.000	0.477
Subset 1	383	707.000	0.493
Subset 1	384	708.000	0.510
Subset 1	385	709.000	0.527
Subset 1	386	710.000	0.544
Subset 1	387	711.000	0.562
Subset 1	388	712.000	0.580
Subset 1	389	713.000	0.597
Subset 1	390	714.000	0.614
Subset 1	391	715.000	0.632
Subset 1	392	716.000	0.649
Subset 1	393	717.000	0.666
Subset 1	394	718.000	0.683
Subset 1	395	719.000	0.700
Subset 1	396	720.000	0.716
Subset 1	397	721.000	0.732
Subset 1	398	722.000	0.749
Subset 1	399	723.000	0.766
Subset 1	400	724.000	0.781
Subset 1	401	725.000	0.796
Subset 1	402	726.000	0.811
Subset 1	403	727.000	0.825
Subset 1	404	728.000	0.838
Subset 1	405	729.000	0.852
Subset 1	406	730.000	0.864
Subset 1	407	731.000	0.876
Subset 1	408	732.000	0.888
Subset 1	409	733.000	0.899
Subset 1	410	734.000	0.910
Subset 1	411	735.000	0.920
Subset 1	412	736.000	0.928
Subset 1	413	737.000	0.936
Subset 1	414	738.000	0.945
Subset 1	415	739.000	0.953
Subset 1	416	740.000	0.961
Subset 1	417	741.000	0.966
Subset 1	418	742.000	0.971
Subset 1	419	743.000	0.977
Subset 1	420	744.000	0.982
Subset 1	421	745.000	0.988
Subset 1	422	746.000	0.993
Subset 1	423	747.000	0.996
Subset 1	424	748.000	0.999
Subset 1	425	749.000	1.002
Subset 1	426	750.000	1.006
Subset 1	427	751.000	1.008
Subset 1	428	752.000	1.010
Subset 1	429	753.000	1.013
Subset 1	430	754.000	1.016
Subset 1	431	755.000	1.018
